	FPKM	mean
FBtr0070379	0.0	-0.020172
FBtr0070380	0.0	-0.08948489999999999
FBtr0070381	0.0	-0.0598946
FBtr0070382	0.0	-0.0598946
FBtr0070383	0.0	-0.0632993
FBtr0070384	10.460574000000001	-0.07119969999999999
FBtr0070385	0.0	-0.041539599999999996
FBtr0070386	12.995424	-0.051198900000000006
FBtr0070387	0.0	-0.06858610000000001
FBtr0070388	0.0	-0.10264200000000001
FBtr0070389	24.203651	-0.0560115
FBtr0070390	11.355591	-0.0665099
FBtr0070392	25.010099	-0.050693300000000004
FBtr0070393	0.0	-0.058347199999999995
FBtr0070396	28.304808	-0.0800974
FBtr0070397	0.0	-0.05218
FBtr0070398	64.545387	-0.0805167
FBtr0070399	0.0	-0.0476091
FBtr0070401	61.551765	-0.060732600000000005
FBtr0070402	92.680695	-0.03216
FBtr0070403	4.0744370000000005	-0.035095
FBtr0070404	0.0	-0.035095
FBtr0070405	10.679872999999999	-0.100703
FBtr0070406	0.0	-0.0553064
FBtr0070407	0.0	-0.041959500000000004
FBtr0070408	97.250404	1.28118
FBtr0070411	107.45446799999999	12.2954
FBtr0070412	24.582264000000002	-0.0283921
FBtr0070414	15.768003	-0.051217200000000004
FBtr0070415	0.0	-0.0716527
FBtr0070416	0.0	-0.0745708
FBtr0070417	0.0	-0.0651888
FBtr0070418	29.238062	-0.062848
FBtr0070419	13.003036	0.143121
FBtr0070420	26.501087	-0.038738800000000004
FBtr0070421	0.0	-0.054943200000000005
FBtr0070422	0.0	-0.054943200000000005
FBtr0070423	0.0	-0.0313219
FBtr0070424	0.313129	-0.0605572
FBtr0070425	22.73975	-0.0777419
FBtr0070426	0.0	-0.072162
FBtr0070427	0.0	-0.12898900000000002
FBtr0070428	0.0	-0.12898900000000002
FBtr0070429	21.649288000000002	-0.0171725
FBtr0070430	39.330338	-0.0171725
FBtr0070431	48.060951	-0.0761806
FBtr0070432	0.0	-0.0322611
FBtr0070433	0.0	1.27132
FBtr0070434	60.098698	-0.10528599999999999
FBtr0070435	11.909713	-0.0792408
FBtr0070436	0.0	2.30944
FBtr0070437	0.0	-0.046400699999999996
FBtr0070438	34.272228000000005	-0.059119200000000004
FBtr0070439	77.46620899999999	88.6487
FBtr0070440	0.0	4.91246
FBtr0070441	21.113995000000003	-0.09410139999999999
FBtr0070442	17.491093	-0.107735
FBtr0070445	6.4885269999999995	-0.060659300000000006
FBtr0070446	209.011368	-0.0581799
FBtr0070447	12.449907000000001	-0.08582510000000002
FBtr0070448	21.294667999999998	0.43085500000000004
FBtr0070457	29.217377000000003	-0.0354602
FBtr0070458	0.0	-0.0354602
FBtr0070459	51.504204	-0.0714472
FBtr0070460	0.0	-0.03579469999999999
FBtr0070461	0.0	-0.0156583
FBtr0070462	0.0	-0.0328226
FBtr0070466	1.7512279999999998	-0.0452886
FBtr0070467	0.0	-0.0452886
FBtr0070468	8.58779	-0.0452886
FBtr0070469	38.707485	-0.0452886
FBtr0070470	0.0	-0.061598900000000005
FBtr0070471	0.0	-0.0640032
FBtr0070472	0.0	-0.045382900000000004
FBtr0070473	0.0	-0.0452886
FBtr0070474	0.0	-0.0452886
FBtr0070475	4.682247	-0.077809
FBtr0070476	0.0	-0.049477099999999996
FBtr0070477	0.0	-0.122448
FBtr0070478	7.849817	-0.0734563
FBtr0070479	26.061701	-0.0938105
FBtr0070480	0.0	-0.059267200000000006
FBtr0070481	22.547356	-0.08845189999999999
FBtr0070482	22.014332	-0.08845189999999999
FBtr0070484	0.0	-0.11620599999999999
FBtr0070485	37.670151000000004	-0.0600163
FBtr0070486	0.15046500000000002	-0.0641573
FBtr0070487	36.673428	-0.0766146
FBtr0070488	15.653946	-0.0856901
FBtr0070489	0.0	-0.07259539999999999
FBtr0070490	0.0	-0.05826080000000001
FBtr0070491	20.884642000000003	-0.042815399999999997
FBtr0070492	0.0	-0.042815399999999997
FBtr0070493	0.0	-0.042815399999999997
FBtr0070494	0.0	-0.0539947
FBtr0070495	55.760151	-0.0712325
FBtr0070496	7.431062	-0.0712325
FBtr0070497	0.0	-0.0968528
FBtr0070498	23.380802	-0.057223
FBtr0070499	25.055902	1.80551
FBtr0070501	16.722044	-0.0245104
FBtr0070502	15.828702999999999	-0.0788961
FBtr0070504	0.0	-0.09624450000000001
FBtr0070505	0.0	-0.0609173
FBtr0070506	0.0	-0.028049400000000002
FBtr0070507	18.872715	3.33671
FBtr0070508	16.814375	0.24801399999999998
FBtr0070509	0.0	-0.0464196
FBtr0070511	0.0	-0.05735269999999999
FBtr0070512	0.0	-0.05735269999999999
FBtr0070513	0.0	-0.05735269999999999
FBtr0070515	0.0	-0.05735269999999999
FBtr0070517	0.0	-0.033349300000000005
FBtr0070518	0.0	-0.0691069
FBtr0070519	0.0	-0.05735269999999999
FBtr0070520	6.042459	-0.0614721
FBtr0070521	0.0	-0.0213386
FBtr0070522	0.7167560000000001	0.471804
FBtr0070523	0.0	-0.030824200000000003
FBtr0070525	60.951801	-0.0223502
FBtr0070526	0.0	-0.052484800000000005
FBtr0070527	0.0	-0.0325311
FBtr0070528	0.0	-0.0325311
FBtr0070529	0.0	-0.0325311
FBtr0070530	0.0	-0.052813
FBtr0070531	0.0	0.404712
FBtr0070532	0.0	-0.055463
FBtr0070533	0.0	1.53444
FBtr0070534	0.0	0.138292
FBtr0070536	0.0	-0.0563726
FBtr0070537	0.0	-0.043998
FBtr0070538	0.0	-0.0240125
FBtr0070539	0.0	-0.0313635
FBtr0070540	0.0	-0.0173541
FBtr0070541	0.0	0.194205
FBtr0070542	0.0	-0.0470968
FBtr0070543	18.627623	0.00803188
FBtr0070546	0.0	0.11068099999999999
FBtr0070550	0.0	-0.024733500000000002
FBtr0070551	0.0	-0.0329711
FBtr0070552	0.0	-0.039036
FBtr0070553	0.0	-0.0169156
FBtr0070554	0.0	-0.0380616
FBtr0070555	0.0	-0.034284300000000004
FBtr0070556	0.0	-0.0648403
FBtr0070557	0.0	-0.044650199999999994
FBtr0070558	1.4024510000000001	-0.0279654
FBtr0070559	0.0	-0.0366519
FBtr0070560	0.0	1.5145600000000001
FBtr0070561	0.0	-0.0400967
FBtr0070562	0.0	-0.037114
FBtr0070563	0.0	-0.028213299999999997
FBtr0070564	0.0	-0.027213599999999998
FBtr0070565	0.0	1.2337200000000001
FBtr0070566	0.0	-0.0317765
FBtr0070567	0.0	-0.0225762
FBtr0070568	45.028748	-0.060417700000000005
FBtr0070569	20.070539	-0.0837091
FBtr0070570	0.0	-0.0477222
FBtr0070571	0.0	-0.0477222
FBtr0070575	0.0	1.42874
FBtr0070577	0.0	-0.0474231
FBtr0070578	0.505474	-0.047053
FBtr0070579	0.509084	-0.035941
FBtr0070582	3.715006	-0.018528299999999998
FBtr0070583	0.0	-0.018528299999999998
FBtr0070584	38.680553	-0.0287948
FBtr0070586	79.752037	-0.095739
FBtr0070587	0.745677	-0.095739
FBtr0070588	0.0	2.99206
FBtr0070589	0.0	-0.0506462
FBtr0070590	72.658798	-0.0630841
FBtr0070591	0.0	-0.023124900000000004
FBtr0070592	0.0	-0.023124900000000004
FBtr0070596	17.718798	-0.0618393
FBtr0070597	78.940865	-0.0172238
FBtr0070598	0.0	-0.017641900000000002
FBtr0070599	0.0	-0.00274653
FBtr0070600	78.108452	-0.000951901
FBtr0070603	0.0	-0.0061979
FBtr0070604	0.0	-0.046107199999999994
FBtr0070605	0.0	-0.0351815
FBtr0070606	0.0	-0.0284128
FBtr0070608	0.0	-0.05653969999999999
FBtr0070609	0.0	-0.05653969999999999
FBtr0070610	0.0	-0.05653969999999999
FBtr0070611	154.332275	-0.10254
FBtr0070612	0.0	-0.0519617
FBtr0070613	7.574807000000001	-0.0503721
FBtr0070616	51.716198	-0.031631599999999996
FBtr0070617	0.0	-0.031631599999999996
FBtr0070618	36.432182	-0.0470514
FBtr0070624	0.0	-0.0548438
FBtr0070625	19.943787	217.937
FBtr0070626	24.783844000000002	-0.0432196
FBtr0070627	12.492246000000002	-0.0520727
FBtr0070634	0.050053	-0.0215855
FBtr0070635	0.0	-0.0215855
FBtr0070638	9.619516	-0.07238560000000001
FBtr0070639	409.72653199999996	-0.0811128
FBtr0070640	0.0	-0.0811128
FBtr0070641	0.0	-0.04191
FBtr0070642	20.124095999999998	-0.07521860000000001
FBtr0070643	7.022325	-0.107953
FBtr0070644	33.358906	-0.0736862
FBtr0070645	0.0	-0.0502961
FBtr0070646	0.0	-0.06100409999999999
FBtr0070647	0.0	-0.028922500000000004
FBtr0070648	155.648056	-0.014972799999999998
FBtr0070650	0.0	-0.0888222
FBtr0070651	0.0	-0.0330107
FBtr0070652	23.913464	-0.0698514
FBtr0070654	0.0	-0.055105600000000005
FBtr0070655	39.894981	-0.0807086
FBtr0070656	0.0	1.14816
FBtr0070657	0.0	-0.062003699999999995
FBtr0070658	0.0	-0.037413999999999996
FBtr0070659	0.0	12.4103
FBtr0070660	0.0	-0.042473000000000004
FBtr0070661	0.0	-0.0426923
FBtr0070663	0.0	-0.06484859999999999
FBtr0070664	0.0	-0.041854300000000004
FBtr0070665	0.0	-0.041933
FBtr0070666	0.0	0.9172370000000001
FBtr0070667	0.0	-0.043287
FBtr0070668	19.804551999999997	-0.0844587
FBtr0070669	22.536966	-0.039081199999999996
FBtr0070670	1.572203	-0.06456569999999999
FBtr0070671	4.888934	-0.0361495
FBtr0070672	0.0	4.12895
FBtr0070674	0.0	-0.0558946
FBtr0070675	29.541258000000003	-0.10497100000000001
FBtr0070676	0.0	-0.0668922
FBtr0070677	9.620623	-0.0590773
FBtr0070678	54.845684	-0.054630899999999996
FBtr0070679	0.0	0.64058
FBtr0070680	0.0	-0.0240907
FBtr0070681	4.383591	-0.0783238
FBtr0070682	87.99754300000001	-0.056931899999999994
FBtr0070683	42.828827000000004	-0.114968
FBtr0070684	39.93034	-0.114968
FBtr0070685	31.815914000000003	-0.0347182
FBtr0070686	7.108476	51.0571
FBtr0070687	0.0	51.0571
FBtr0070688	0.0	-0.05458919999999999
FBtr0070689	0.0	-0.10357899999999999
FBtr0070690	39.882099	-0.070793
FBtr0070691	0.0	-0.0212065
FBtr0070692	0.0	-0.055722
FBtr0070693	0.0	-0.025361500000000002
FBtr0070696	0.0	0.135464
FBtr0070697	0.0	-0.0516014
FBtr0070698	80.63327	-0.0617828
FBtr0070699	35.275653999999996	-0.0503647
FBtr0070701	12.636295	0.0657604
FBtr0070702	22.158134	-0.0428313
FBtr0070704	0.0	-0.048183699999999996
FBtr0070706	203.531769	-0.0668546
FBtr0070707	1.0078850000000001	-0.0668546
FBtr0070708	177.280548	-0.0447229
FBtr0070709	0.0	-0.0430986
FBtr0070710	1.369642	-0.0447229
FBtr0070711	10.226881	-0.0447229
FBtr0070712	0.0	-0.0678919
FBtr0070713	0.0	0.515491
FBtr0070714	0.0	0.515491
FBtr0070715	0.0	-0.0322454
FBtr0070716	0.0	-0.0368912
FBtr0070717	0.0	-0.039104400000000004
FBtr0070721	48.427634999999995	-0.0563239
FBtr0070723	4.121913	-0.06093730000000001
FBtr0070724	0.0	-0.0385339
FBtr0070725	0.0	-0.0385339
FBtr0070727	0.0	-0.0665174
FBtr0070731	0.0	1.51691
FBtr0070734	0.0	1.31019
FBtr0070735	0.0	-0.020190599999999996
FBtr0070736	0.0	-0.026467400000000002
FBtr0070738	0.0	-0.0422295
FBtr0070739	0.0	-0.052872
FBtr0070740	11.992689	-0.0509473
FBtr0070741	0.0	-0.066169
FBtr0070742	0.0	42.7137
FBtr0070748	138.397964	-0.0632177
FBtr0070749	345.651154	-0.0604971
FBtr0070750	0.31739	-0.0401774
FBtr0070751	36.324448	-0.0964415
FBtr0070752	11.510053	-0.0797489
FBtr0070753	0.0	-0.0797489
FBtr0070755	0.0	-0.0510835
FBtr0070756	52.620689	3.8595699999999997
FBtr0070757	0.40018400000000004	0.346829
FBtr0070758	0.0	-0.0479879
FBtr0070759	0.0	-0.0404105
FBtr0070762	30.192518	-0.051342599999999995
FBtr0070763	0.0	-0.0768494
FBtr0070764	0.0	-0.0487546
FBtr0070772	2.342547	-0.05947519999999999
FBtr0070773	82.626129	-0.0905633
FBtr0070775	0.0	-0.10254200000000001
FBtr0070776	0.0	-0.0601186
FBtr0070777	0.103246	-0.0633168
FBtr0070778	0.0	1.84615
FBtr0070779	0.0	-0.0680053
FBtr0070780	0.0	-0.0637619
FBtr0070781	0.0	-0.0492108
FBtr0070782	11.572455999999999	-0.08509889999999999
FBtr0070783	92.212593	-0.0337726
FBtr0070784	0.9150940000000001	-0.0526393
FBtr0070785	16.529961	-0.0526393
FBtr0070791	0.0	-0.0514679
FBtr0070794	185.06231699999998	-0.0177384
FBtr0070795	0.0	-0.0393965
FBtr0070797	0.0	0.010132500000000001
FBtr0070798	23.969486	-0.0525779
FBtr0070799	11.598306	-0.0698309
FBtr0070800	313.566803	-0.0698409
FBtr0070801	812.58429	-0.08830700000000001
FBtr0070802	0.0	-0.0487982
FBtr0070804	0.0	-0.080326
FBtr0070806	0.0	1.54864
FBtr0070807	10.29073	0.208758
FBtr0070808	0.0	-0.0770628
FBtr0070809	21.196148	-0.087862
FBtr0070813	0.0	-0.0507533
FBtr0070814	0.0	-0.05428009999999999
FBtr0070815	0.0	-0.0200438
